Year,Player,TM,ATT,RusYDS,RusY/A,RusTD,FL,G,TmRBWR,RYOE,RYOE/ATT,RYOE%,TGT,REC,RecYDS,Y/R,RecTD,Routes,Y/RR,Open,Catch,YAC,Overall,Snaps,Snaps/G,Rush%,Tgt%,Touch %,Util%,In5ATT,In5RushTD,In5Rush%,RusTD%,xRusTD%,In5REC,In5TG,In5RecTD,RecTD%,xRecTD%,significant_injury,position,gsis_id,birth_date,draft_round,draft_pick,rookie_season,last_season,age,year_signed,years,inflated_value,inflated_guaranteed,inflated_apy,pct_gtd_sign
2020,AJ Dillon,GB,46.0,242.0,5.3,2.0,0.0,11.0,74.0,,,,2.0,2.0,21.0,10.5,0.0,,,,,,,97.0,9.0,47.0,2.0,49.0,49.0,0.0,0.0,0.0,0.0435,0.0277,0.0,0.0,0.0,0.0,0.0152,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,22.34,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2021,AJ Dillon,GB,187.0,803.0,4.3,5.0,1.0,17.0,73.0,47.0,0.25,45.2,37.0,34.0,313.0,9.2,2.0,156.0,2.01,59.0,74.0,71.0,83.0,476.0,28.0,39.0,8.0,46.0,47.0,11.0,4.0,0.579,0.0267,0.0326,1.0,1.0,1.0,0.0541,0.0413,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,23.33,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2022,AJ Dillon,GB,186.0,770.0,4.1,7.0,0.0,17.0,72.0,-35.0,-0.19,40.2,43.0,28.0,206.0,7.4,0.0,189.0,1.09,43.0,51.0,37.0,37.0,537.0,32.0,35.0,8.0,40.0,43.0,9.0,4.0,0.818,0.0376,0.0353,0.0,0.0,0.0,0.0,0.0143,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,24.33,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2023,AJ Dillon,GB,178.0,613.0,3.4,2.0,0.0,15.0,70.0,-64.0,-0.36,36.9,28.0,22.0,223.0,10.1,0.0,179.0,1.25,60.0,68.0,80.0,88.0,494.0,33.0,36.0,6.0,40.0,42.0,10.0,2.0,0.556,0.0112,0.0232,0.0,0.0,0.0,0.0,0.0054,0.0,RB,00-0036265,1998-05-02,2.0,62.0,2020.0,2026.0,25.33,2020.0,4.0,8.032755,4.194674,2.008189,0.522
2018,Aaron Jones Sr.,GB,133.0,728.0,5.5,8.0,1.0,12.0,,86.0,0.66,42.7,35.0,26.0,206.0,7.9,1.0,145.0,1.42,34.0,53.0,54.0,49.0,376.0,31.0,35.0,9.0,42.0,45.0,4.0,2.0,0.571,0.0602,0.0414,0.0,0.0,0.0,0.0286,0.0233,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,23.75,2017.0,4.0,4.692855,0.364232,1.173214,0.078
2019,Aaron Jones Sr.,GB,236.0,1084.0,4.6,16.0,2.0,16.0,,84.0,0.36,39.7,68.0,49.0,474.0,9.7,3.0,249.0,2.03,39.0,46.0,51.0,45.0,663.0,41.0,36.0,10.0,43.0,46.0,17.0,10.0,0.895,0.0678,0.0526,2.0,2.0,1.0,0.0441,0.0417,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,24.75,2017.0,4.0,4.692855,0.364232,1.173214,0.078
2020,Aaron Jones Sr.,GB,201.0,1104.0,5.5,9.0,0.0,14.0,74.0,128.0,0.64,39.5,63.0,47.0,355.0,7.6,2.0,208.0,1.81,36.0,26.0,66.0,47.0,539.0,39.0,37.0,12.0,46.0,49.0,9.0,4.0,0.563,0.0448,0.0396,1.0,3.0,0.0,0.0317,0.0385,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,25.75,2017.0,4.0,4.692855,0.364232,1.173214,0.078
2021,Aaron Jones Sr.,GB,171.0,799.0,4.7,4.0,1.0,15.0,73.0,49.0,0.29,38.2,65.0,52.0,391.0,7.5,6.0,237.0,2.19,43.0,45.0,66.0,59.0,578.0,39.0,30.0,11.0,39.0,41.0,8.0,4.0,0.421,0.0234,0.028,2.0,2.0,2.0,0.0923,0.0709,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,26.75,2021.0,4.0,79.219726,21.455342,19.804932,0.271
2022,Aaron Jones Sr.,GB,213.0,1121.0,5.3,2.0,3.0,17.0,72.0,88.0,0.43,42.4,72.0,59.0,395.0,6.7,5.0,249.0,1.59,59.0,66.0,39.0,51.0,630.0,37.0,34.0,11.0,43.0,45.0,2.0,0.0,0.182,0.0094,0.0135,2.0,2.0,1.0,0.0694,0.0527,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,27.75,2021.0,4.0,79.219726,21.455342,19.804932,0.271
2023,Aaron Jones Sr.,GB,142.0,656.0,4.6,2.0,1.0,11.0,70.0,16.0,0.12,39.4,43.0,30.0,233.0,7.8,1.0,158.0,1.61,66.0,54.0,55.0,62.0,354.0,32.0,40.0,12.0,49.0,52.0,7.0,2.0,0.389,0.0141,0.0237,0.0,0.0,0.0,0.0233,0.028,0.0,RB,00-0033293,1994-12-02,5.0,182.0,2017.0,2026.0,28.75,2023.0,2.0,30.816726,11.415587,15.408363,0.37
